book_id,isbn,authors,original_publication_year,title
27,439785960,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
28,140283331,William Golding,1954,Lord of the Flies
29,743477111,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet
30,297859382,Gillian Flynn,2012,Gone Girl
31,399155341,Kathryn Stockett,2009,The Help
32,142000671,John Steinbeck,1937,Of Mice and Men
33,739326228,Arthur Golden,1997,Memoirs of a Geisha
34,1612130291,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)"
35,61122416,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist
36,385732554,Lois Lowry,1993,"The Giver (The Giver, #1)"
37,60764899,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
38,965818675,Audrey Niffenegger,2003,The Time Traveler's Wife
39,553588486,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)"
40,143038419,Elizabeth Gilbert,2006,"Eat, Pray, Love"
41,786838655,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)"
42,451529308,Louisa May Alcott,1868,"Little Women (Little Women, #1)"
43,142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre
44,553816713,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)"
45,770430074,Yann Martel,2001,Life of Pi
46,1565125606,Sara Gruen,2006,Water for Elephants
47,375831002,Markus Zusak,2005,The Book Thief
48,307347974,Ray Bradbury,1953,Fahrenheit 451
49,316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)"
50,60513039,Shel Silverstein,1974,Where the Sidewalk Ends
51,1416914285,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)"
52,316160202,Stephenie Meyer,2007,"Eclipse (Twilight, #3)"
53,375826696,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)"
54,345391802,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
55,60929871,Aldous Huxley,1932,Brave New World
56,031606792X,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)"
57,142001740,Sue Monk Kidd,2001,The Secret Life of Bees
58,142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn
59,64410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web
60,1400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time
61,1594633665,Paula Hawkins,2015,The Girl on the Train
62,679879242,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)"
63,393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights
64,743454537,Jodi Picoult,2004,My Sister's Keeper
65,385333846,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five
66,446675539,Margaret Mitchell,1936,Gone with the Wind
67,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns
68,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower
69,7442912,Veronica Roth,2012,"Insurgent (Divergent, #2)"
70,812550706,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)"
71,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein
72,450040186,Stephen King,1977,The Shining (The Shining #1)
73,316068047,Stephenie Meyer,2008,"The Host (The Host, #1)"
74,142402516,John Green,2005,Looking for Alaska
75,014028009X,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)"
76,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility
77,439244196,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)"
78,307275558,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)"
79,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey
80,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince
81,074324754X,Jeannette Walls,2005,The Glass Castle
82,385486804,Jon Krakauer,1996,Into the Wild
83,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities
84,030734813X,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)"
85,60256656,Shel Silverstein,1964,The Giving Tree
86,385338600,John Grisham,1989,A Time to Kill
87,374500010,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1)
88,014241493X,John Green,2008,Paper Towns
89,345418263,William Goldman,1973,The Princess Bride 
90,014038572X,S.E. Hinton,1967,The Outsiders
91,385737947,James Dashner,2009,"The Maze Runner (Maze Runner, #1)"
92,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
93,517189607,Frances Hodgson Burnett,1911,The Secret Garden
94,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude
95,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray
96,345803507,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)"
97,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula
98,307269981,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)"
99,1612130585,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)"
100,60786507,Barbara Kingsolver,1998,The Poisonwood Bible
101,349113912,David Sedaris,2000,Me Talk Pretty One Day
102,99408392,Maurice Sendak,1963,Where the Wild Things Are
103,140449264,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo
104,307265439,Cormac McCarthy,2006,The Road
105,7524277,Veronica Roth,2013,"Allegiant (Divergent, #3)"
106,,Tina Fey,2011,Bossypants
107,446693804,Nicholas Sparks,1999,A Walk to Remember
108,440241413,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)"
109,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables
110,553381695,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)"
111,143037145,Kim Edwards,2005,The Memory Keeper's Daughter
112,670026603,Jojo Moyes,2012,"Me Before You (Me Before You, #1)"
113,684833395,Joseph Heller,1961,Catch-22
114,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie
115,312422156,Jeffrey Eugenides,2002,Middlesex
116,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer
117,440498058,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)"
118,143038095,Amy Tan,1989,The Joy Luck Club
119,038549081X,Margaret Atwood,1985,The Handmaid's Tale
120,385729332,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)"
121,,"Vladimir Nabokov, Craig Raine",1955,Lolita
122,60987103,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)"
123,582418275,John Grisham,1991,"The Firm (Penguin Readers, Level 5)"
124,316098337,Emma Donoghue,2010,Room
125,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet
126,340839937,Frank Herbert,1965,Dune (Dune Chronicles #1)
127,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference
128,1451648537,Walter Isaacson,2011,Steve Jobs
129,451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest
130,684830493,Ernest Hemingway,1952,The Old Man and the Sea
131,142000663,John Steinbeck,1939,The Grapes of Wrath
132,1401308589,Mitch Albom,2003,The Five People You Meet in Heaven
133,451528824,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)"
134,1416914307,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)"
135,055357342X,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)"
136,006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood
137,440242940,Diana Gabaldon,1991,"Outlander (Outlander, #1)"
138,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter
139,1594744769,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)"
140,030726999X,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)"
141,804139024,Andy Weir,2012,The Martian
142,451207149,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)"
143,1476746583,Anthony Doerr,2014,All the Light We Cannot See
144,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
145,671027387,Dan Brown,2001,Deception Point
146,316055433,Donna Tartt,2013,The Goldfinch
147,1595141715,Jay Asher,2007,Thirteen Reasons Why
148,452287022,Tracy Chevalier,1999,Girl with a Pearl Earring
149,525421033,Gayle Forman,2009,"If I Stay (If I Stay, #1)"
150,312353766,Anita Diamant,1997,The Red Tent
151,786856866,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)"
152,446528056,Nicholas Sparks,2006,Dear John
153,1416914293,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)"
154,743477103,William Shakespeare,1606,Macbeth
155,618346260,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)"
156,031232118X,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)"
157,394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham
158,142403881,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)"
159,1423101464,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)"
160,192833596,Charles Dickens,1860,Great Expectations
161,345339738,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)"
162,,"Albert Camus, Matthew    Ward",1942,The Stranger
163,142311339X,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)"
164,1250012570,Rainbow Rowell,2013,Eleanor & Park
165,055358202X,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)"
166,525423648,Ally Condie,2010,"Matched (Matched, #1)"
167,747263744,Neil Gaiman,2001,"American Gods (American Gods, #1)"
168,385199570,"Stephen King, Bernie Wrightson",1978,The Stand
169,446547565,Nicholas Sparks,2008,The Last Song
170,552151696,Dan Brown,1998,Digital Fortress
171,141439580,"Jane Austen, Fiona Stafford",1815,Emma
172,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina
173,393312836,Anthony Burgess,1962,A Clockwork Orange
174,964729237,William Paul Young,2007,The Shack
175,739380338,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)"
176,451169514,Stephen King,1986,It
177,143058142,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment
178,61148512,Sylvia Plath,1963,The Bell Jar
179,7205236,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)"
180,553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha
181,679745580,Truman Capote,1965,In Cold Blood
182,316042676,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)"
183,1416975861,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)"
184,141301066,"Roald Dahl, Quentin Blake",1988,Matilda
185,385534639,Erin Morgenstern,2011,The Night Circus
186,743227441,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)"
187,689865384,Scott Westerfeld,2005,"Uglies (Uglies, #1)"
188,,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)"
189,618640150,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)"
190,307592731,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail
191,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen
192,075640407X,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)"
193,316017922,Malcolm Gladwell,2008,Outliers: The Story of Success
194,142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale"
195,385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society
196,393327345,Chuck Palahniuk,1996,Fight Club
197,441008534,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, #1)"
198,671727796,Alice Walker,1982,The Color Purple
199,739461192,John Grogan,2005,Marley and Me: Life and Love With the World's Worst Dog
200,312330871,Agatha Christie,1939,And Then There Were None
201,385504225,Dan Brown,2009,"The Lost Symbol (Robert Langdon, #3)"
202,1416989412,Becca Fitzpatrick,2009,"Hush, Hush (Hush, Hush, #1)"
203,,Jamie McGuire,2011,"Beautiful Disaster (Beautiful, #1)"
204,1561797464,Charles Dickens,1843,A Christmas Carol
205,345476875,Anne Rice,1976,"Interview with the Vampire (The Vampire Chronicles, #1)"
206,62059939,Kiera Cass,2012,"The Selection (The Selection, #1)"
207,312362080,Janet Evanovich,1994,"One for the Money (Stephanie Plum, #1)"
208,1400052173,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks
209,99446782,Thomas Harris,1988,"The Silence of the Lambs  (Hannibal Lecter, #2)"
210,159514174X,Richelle Mead,2007,"Vampire Academy (Vampire Academy, #1)"
211,316010669,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking
212,038572179X,Ian McEwan,2001,Atonement
213,553213695,"Franz Kafka, Stanley Corngold",1915,The Metamorphosis
214,141382899,Rick Riordan,2007,"The Titan's Curse (Percy Jackson and the Olympians, #3)"
215,030788743X,Ernest Cline,2011,Ready Player One
216,1554681723,Garth Stein,2006,The Art of Racing in the Rain
217,739303406,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America"
218,425263908,Sylvia Day,2012,"Bared to You (Crossfire, #1)"
219,66238501,"C.S. Lewis, Pauline Baynes",1956,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)"
220,316043133,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion
221,1558743669,Dave Pelzer,1995,"A Child Called ""It"" (Dave Pelzer #1)"
222,752864327,Robert Ludlum,1980,"The Bourne Identity (Jason Bourne, #1)"
223,786817879,Eoin Colfer,2001,"Artemis Fowl (Artemis Fowl, #1)"
224,385738935,Lauren Kate,2009,"Fallen (Fallen, #1)"
225,142000655,John Steinbeck,1952,East of Eden
226,307341569,Gillian Flynn,2009,Dark Places
227,385339089,John Grisham,1993,The Client
228,312291639,"Emma McLaughlin, Nicola Kraus",2002,"The Nanny Diaries (Nanny, #1)"
229,451527747,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland & Through the Looking-Glass
230,192802631,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion
231,312370830,Tatiana de Rosnay,2007,Sarah's Key
232,452284694,Stephen King,1982,"The Gunslinger (The Dark Tower, #1)"
233,140003468X,"Gabriel García Márquez, Edith Grossman",1985,Love in the Time of Cholera
234,014131088X,Laurie Halse Anderson,1999,Speak
235,399159347,Liane Moriarty,2013,The Husband's Secret
236,385494785,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mount Everest Disaster
237,1416524304,Stephen King,1974,Carrie
238,031242227X,Augusten Burroughs,2002,Running with Scissors
239,307346609,Max Brooks,2006,World War Z: An Oral History of the Zombie War
240,385537859,Dan Brown,2013,"Inferno (Robert Langdon, #4)"
241,440227534,Lois Lowry,1989,Number the Stars
242,446692638,James Patterson,1993,"Along Came a Spider (Alex Cross, #1)"
243,450417395,Stephen King,1987,Misery
244,307341542,Gillian Flynn,2006,Sharp Objects
245,439366771,Katherine Paterson,1977,Bridge to Terabithia
246,312360266,"P.C. Cast, Kristin Cast",2007,"Marked (House of Night, #1)"
247,743269519,Stephen R. Covey,1989,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change
248,743477545,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream
249,618711651,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close
250,375869026,R.J. Palacio,2012,Wonder
251,039480001X,Dr. Seuss,1957,The Cat in the Hat
252,312641893,Marissa Meyer,2012,"Cinder (The Lunar Chronicles, #1)"
253,316206849,"Robert Galbraith, J.K. Rowling",2013,"The Cuckoo's Calling (Cormoran Strike, #1)"
254,545123267,Maggie Stiefvater,2009,"Shiver (The Wolves of Mercy Falls, #1)"
255,452011876,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged
256,143038257,"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time
257,517223627,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,Alice in Wonderland
258,143034901,"Carlos Ruiz Zafón, Lucia Graves",2001,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)"
259,385738757,James Dashner,2010,"The Scorch Trials (Maze Runner, #2)"
260,,Dale Carnegie,1936,How to Win Friends and Influence People
261,767900383,Frances Mayes,1996,Under the Tuscan Sun
262,399167064,Liane Moriarty,2014,Big Little Lies
263,590920685,Gail Carson Levine,1997,Ella Enchanted
264,743297334,Ernest Hemingway,1926,The Sun Also Rises
265,61120073,Betty  Smith,1943,A Tree Grows in Brooklyn
266,446677388,James Patterson,1995,"Kiss the Girls (Alex Cross, #2)"
267,312577222,Kristin Hannah,2015,The Nightingale
268,1400078776,Kazuo Ishiguro,2005,Never Let Me Go
269,786890754,Cecelia Ahern,2003,P.S. I Love You
270,1844080382,"Daphne du Maurier, Sally Beauman",1938,Rebecca
271,156030306,Daniel Keyes,1966,Flowers for Algernon
272,552995878,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,Like Water for Chocolate
273,812968069,Lisa See,2005,Snow Flower and the Secret Fan
274,451205766,"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather
275,525476881,John Green,2006,An Abundance of Katherines
276,553803719,Isaac Asimov,1951,Foundation (Foundation #1)
277,62255657,Neil Gaiman,2013,The Ocean at the End of the Lane
278,60513063,Shel Silverstein,1981,A Light in the Attic
279,751565350,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)"
280,61726834,Lauren Oliver,2011,"Delirium (Delirium, #1)"
281,385339704,John Grisham,1992,The Pelican Brief
282,61139378,Neil Gaiman,2002,Coraline
283,60853980,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch"
284,140042598,Jack Kerouac,1955,On the Road
285,1476729085,Graeme Simsion,2013,"The Rosie Project (Don Tillman, #1)"
286,446579939,Nicholas Sparks,2008,The Lucky One
287,451191153,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead
288,425172902,Tom Clancy,1984,"The Hunt for Red October (Jack Ryan Universe, #4)"
289,038039586X,Richard Adams,1972,"Watership Down (Watership Down, #1)"
290,307886263,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns)
291,375414495,Abraham Verghese,2009,Cutting for Stone
292,006112527X,"C.S. Lewis, Pauline Baynes",1951,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)"
293,753453800,Robert Louis Stevenson,1882,Treasure Island
294,1423140591,Rick Riordan,2011,"The Son of Neptune (The Heroes of Olympus, #2)"
295,1451627289,Stephen King,2011,11/22/63
296,241003008,Eric Carle,1969,The Very Hungry Caterpillar Board Book
297,140285601,Kurt Vonnegut Jr.,1963,Cat's Cradle
298,451528557,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine
299,849946158,"Todd Burpo, Lynn Vincent",2010,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back
300,385751060,John Boyne,2006,The Boy in the Striped Pajamas
301,1892295490,Joseph Conrad,1899,Heart of Darkness
302,044654759X,Nicholas Sparks,2010,Safe Haven
303,1582701709,Rhonda Byrne,2006,"The Secret (The Secret, #1)"
304,60987561,Wally Lamb,1998,I Know This Much Is True
305,1416524347,Stephen King,1983,Pet Sematary
306,671021001,Wally Lamb,1992,She's Come Undone
307,756404738,Patrick Rothfuss,2011,"The Wise Man's Fear (The Kingkiller Chronicle, #2)"
308,440241901,Sophie Kinsella,2003,Can You Keep a Secret?
309,1442403543,Cassandra Clare,2011,"City of Fallen Angels (The Mortal Instruments, #4)"
310,743418174,Jennifer Weiner,2001,"Good in Bed (Cannie Shapiro, #1)"
311,380018179,Colleen McCullough,1977,The Thorn Birds
312,60530928,"Neil Gaiman, Dave McKean",2008,The Graveyard Book
313,1451681739,M.L. Stedman,2012,The Light Between Oceans
314,439709105,"Cornelia Funke, Anthea Bell",2003,"Inkheart (Inkworld, #1)"
315,91883768,"Spencer Johnson, Kenneth H. Blanchard",1998,Who Moved My Cheese?
316,307279464,Bill Bryson,1997,A Walk in the Woods
317,553279378,Maya Angelou,1969,I Know Why the Caged Bird Sings
318,61950726,Christina Baker Kline,2013,Orphan Train
319,1442416866,Cassandra Clare,2012,"City of Lost Souls (The Mortal Instruments, #5)"
320,316204277,Maria Semple,2012,"Where'd You Go, Bernadette"
321,375806814,Wilson Rawls,1961,Where the Red Fern Grows
322,60557818,Neil Gaiman,1996,Neverwhere
323,571224385,"Milan Kundera, Michael Henry Heim",1984,The Unbearable Lightness of Being
324,,Rainbow Rowell,2013,Fangirl
325,552135399,John Irving,1989,A Prayer for Owen Meany
326,316182540,Janet Fitch,1999,White Oleander
327,039925675X,Marie Lu,2011,"Legend (Legend, #1)"
328,743496728,Jodi Picoult,2007,Nineteen Minutes
329,1401323251,"Randy Pausch, Jeffrey Zaslow",2008,The Last Lecture
330,812511816,Robert Jordan,1990,"The Eye of the World (Wheel of Time, #1)"
331,61150142,Jodi Picoult,1998,The Pact
332,60764902,C.S. Lewis,1953,"The Magician's Nephew (Chronicles of Narnia, #6)"
333,595440096,Lisa Genova,2007,Still Alice
334,425263916,Sylvia Day,2012,"Reflected in You (Crossfire, #2)"
335,375814248,"Roald Dahl, Quentin Blake",1961,James and the Giant Peach
336,446696617,James Patterson,2001,"1st to Die (Women's Murder Club, #1)"
337,345453743,Douglas Adams,1996,The Ultimate Hitchhiker's Guide to the Galaxy
338,340896965,David Nicholls,2009,One Day
339,60775858,"Margaret Wise Brown, Clement Hurd",1947,Goodnight Moon
340,61969559,Pittacus Lore,2010,"I Am Number Four (Lorien Legacies, #1)"
341,140275363,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750,The Iliad
342,316228532,J.K. Rowling,2012,The Casual Vacancy
343,385339690,John Grisham,1996,The Runaway Jury
344,316777730,David Sedaris,1997,Naked
345,375840400,Christopher Paolini,2005,"Eldest (The Inheritance Cycle, #2)"
346,140621679,"L. Frank Baum, W.W. Denslow",1900,"The Wonderful Wizard of Oz (Oz, #1)"
347,000720230X,C.S. Lewis,1951,"Prince Caspian (Chronicles of Narnia, #2)"
348,,E. Lockhart,2014,We Were Liars
349,450031063,Stephen King,1975,'Salem's Lot
350,679785892,"Hunter S. Thompson, Ralph Steadman",1971,Fear and Loathing in Las Vegas
351,1416975888,Cassandra Clare,2011,"Clockwork Prince (The Infernal Devices, #2)"
352,62268341,Amy Poehler,2014,Yes Please
353,743477553,William Shakespeare,1603,Othello
354,1400033411,Toni Morrison,1987,Beloved
355,015206396X,Kristin Cashore,2008,"Graceling (Graceling Realm, #1)"
356,439206472,"Lemony Snicket, Brett Helquist",1999,"The Bad Beginning (A Series of Unfortunate Events, #1)"
357,449213943,"Erich Maria Remarque, A.W. Wheen",1929,All Quiet on the Western Front
358,679805273,Dr. Seuss,1990,"Oh, The Places You'll Go!"
359,159463176X,Khaled Hosseini,2012,And the Mountains Echoed
360,345404475,"Philip K. Dick, Roger Zelazny",1968,Do Androids Dream of Electric Sheep?
361,141439742,"Charles Dickens, George Cruikshank, Philip Horne",1838,Oliver Twist
362,60652896,C.S. Lewis,1942,The Screwtape Letters
363,525423273,Stephanie Perkins,2010,"Anna and the French Kiss (Anna and the French Kiss, #1)"
364,7173040,Dr. Seuss,1957,How the Grinch Stole Christmas!
365,1401207928,"Alan Moore, David   Lloyd",1990,V for Vendetta
366,743223136,David McCullough,2001,John Adams
367,553384287,Dean Koontz,2003,"Odd Thomas (Odd Thomas, #1)"
368,679879250,Philip Pullman,1997,"The Subtle Knife (His Dark Materials, #2)"
369,439488400,Jerry Spinelli,2000,"Stargirl (Stargirl, #1)"
370,1423113381,Rick Riordan,2010,"The Red Pyramid (Kane Chronicles, #1)"
371,441788386,Robert A. Heinlein,1961,Stranger in a Strange Land
372,965904830,David Sedaris,2004,Dress Your Family in Corduroy and Denim
373,141311371,"Roald Dahl, Quentin Blake",1982,The BFG
374,076790818X,Bill Bryson,2003,A Short History of Nearly Everything
375,439227143,Jack London,1903,The Call of the Wild
376,385738773,James Dashner,2011,"The Death Cure (Maze Runner, #3)"
377,61142026,Neil Gaiman,1999,Stardust
378,618485228,Jhumpa Lahiri,2003,The Namesake
379,670022411,Deborah Harkness,2011,"A Discovery of Witches (All Souls Trilogy, #1)"
380,375704027,"Haruki Murakami, Jay Rubin",1987,Norwegian Wood
381,446672211,Billie Letts,1995,Where the Heart Is
382,525421580,"John Green, David Levithan",2010,"Will Grayson, Will Grayson"
383,307276902,James Frey,2003,A Million Little Pieces
384,1595141758,Richelle Mead,2008,"Frostbite (Vampire Academy, #2)"
